"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"1024"	0.9868	1.8736	0.0022694	1.9758	0.27077	1024	"Bayescan Host"
"1025"	0.99	1.9955	0.0016148	1.9979	0.27338	1025	"Bayescan Host"
"1026"	0.9866	1.8669	0.0023232	2.0401	0.28	1026	"Bayescan Host"
"1027"	0.9882	1.9229	0.0018559	2.0428	0.28097	1027	"Bayescan Host"
"1028"	0.89558	0.93332	0.015824	1.6546	0.23372	1028	"Bayescan Host"
"1029"	0.87277	0.83633	0.020068	1.6761	0.23878	1029	"Bayescan Host"
"1030"	0.87057	0.82778	0.02074	1.6986	0.24206	1030	"Bayescan Host"
"1031"	0.80156	0.60631	0.033756	1.5497	0.22724	1031	"Bayescan Host"
"1032"	0.81116	0.63302	0.030569	1.5695	0.22914	1032	"Bayescan Host"
"1033"	0.81836	0.65374	0.028302	1.589	0.23104	1033	"Bayescan Host"
"1034"	0.82156	0.66316	0.027408	1.5882	0.23055	1034	"Bayescan Host"
"1036"	0.81656	0.6485	0.028751	1.5851	0.23087	1036	"Bayescan Host"
"1037"	0.83477	0.70347	0.02482	1.6145	0.23364	1037	"Bayescan Host"
"1038"	0.9972	2.5515	0.00040271	2.1746	0.29874	1038	"Bayescan Host"
"1039"	0.9926	2.1275	0.0011794	2.0698	0.28404	1039	"Bayescan Host"
"1040"	0.9934	2.1775	0.00094076	2.0905	0.28675	1040	"Bayescan Host"
"1041"	0.998	2.698	0.00030075	2.1876	0.30016	1041	"Bayescan Host"
"1042"	0.9808	1.7082	0.0036411	1.9246	0.26388	1042	"Bayescan Host"
"1044"	0.9968	2.4934	0.00048927	2.0584	0.28128	1044	"Bayescan Host"
"1045"	0.996	2.3961	0.00064498	2.0319	0.27775	1045	"Bayescan Host"
"1047"	0.95739	1.3516	0.0071741	1.8058	0.24926	1047	"Bayescan Host"
"1048"	0.95559	1.3328	0.0077259	1.8095	0.24992	1048	"Bayescan Host"
"1049"	0.80656	0.62009	0.033292	1.5099	0.2206	1049	"Bayescan Host"
"1050"	0.83017	0.68914	0.02609	1.5461	0.22445	1050	"Bayescan Host"
"1053"	0.96439	1.4327	0.006017	1.8444	0.25397	1053	"Bayescan Host"
"1054"	0.88718	0.89561	0.017888	1.6612	0.23518	1054	"Bayescan Host"
"1055"	0.88458	0.88444	0.018499	1.6585	0.23494	1055	"Bayescan Host"
"1100"	0.88298	0.87768	0.019114	1.7484	0.24702	1100	"Bayescan Host"
"1101"	0.94219	1.2121	0.01015	1.8041	0.25004	1101	"Bayescan Host"
"1104"	0.9924	2.1158	0.0012492	2.0908	0.28693	1104	"Bayescan Host"
"1233"	0.96319	1.4178	0.0061377	2.012	0.27838	1233	"Bayescan Host"
"1355"	1	1000	0	2.6618	0.3728	1355	"Bayescan Host"
"1375"	0.96179	1.4009	0.0063826	2.0084	0.27769	1375	"Bayescan Host"
"1376"	1	1000	0	3.3049	0.48264	1376	"Bayescan Host"
"1392"	0.9934	2.1775	0.00094076	2.1105	0.28967	1392	"Bayescan Host"
"1393"	1	1000	0	2.5912	0.36094	1393	"Bayescan Host"
"1394"	1	1000	0	2.5776	0.35818	1394	"Bayescan Host"
"1397"	0.9826	1.7517	0.0031681	1.9552	0.26855	1397	"Bayescan Host"
"1594"	0.97299	1.5567	0.0046806	1.9204	0.26408	1594	"Bayescan Host"
"1595"	0.90058	0.95705	0.015262	1.6877	0.23799	1595	"Bayescan Host"
"1606"	0.9894	1.97	0.001707	2.0712	0.28432	1606	"Bayescan Host"
"1607"	0.9992	3.0965	9.2701e-05	2.308	0.31744	1607	"Bayescan Host"
"1626"	0.9956	2.3545	0.00068876	2.129	0.29159	1626	"Bayescan Host"
"1629"	0.9976	2.6187	0.00035578	2.1237	0.2906	1629	"Bayescan Host"
"1636"	0.79876	0.5987	0.034689	1.4622	0.21556	1636	"Bayescan Host"
"1660"	0.73135	0.43493	0.044941	1.261	0.19317	1660	"Bayescan Host"
"1682"	0.93599	1.165	0.011564	1.8408	0.25632	1682	"Bayescan Host"
"1883"	1	1000	0	2.7753	0.39008	1883	"Bayescan Host"
"1992"	0.9998	3.6988	2.2227e-05	2.316	0.31874	1992	"Bayescan Host"
"2066"	0.9958	2.3748	0.0006664	2.1844	0.30013	2066	"Bayescan Host"
"2134"	1	1000	0	2.6184	0.36522	2134	"Bayescan Host"
"2195"	0.9858	1.8414	0.00249	2.0139	0.27551	2195	"Bayescan Host"
"2223"	0.95459	1.3227	0.0080061	1.791	0.24728	2223	"Bayescan Host"
"2224"	0.76535	0.51345	0.041541	1.3882	0.20808	2224	"Bayescan Host"
"2226"	0.9902	2.0044	0.0015711	1.979	0.27067	2226	"Bayescan Host"
"2288"	1	1000	0	2.3898	0.32908	2288	"Bayescan Host"
"2340"	0.9962	2.4185	0.00062452	2.0616	0.28211	2340	"Bayescan Host"
"2354"	1	1000	0	2.6277	0.36681	2354	"Bayescan Host"
"2406"	0.95459	1.3227	0.0080061	1.9111	0.26462	2406	"Bayescan Host"
"2407"	0.988	1.9155	0.0019574	2.031	0.27897	2407	"Bayescan Host"
"2408"	0.9976	2.6187	0.00035578	2.2248	0.30502	2408	"Bayescan Host"
"2424"	1	1000	0	2.809	0.39584	2424	"Bayescan Host"
"2436"	1	1000	0	2.7847	0.3913	2436	"Bayescan Host"
"2437"	1	1000	0	2.6109	0.36362	2437	"Bayescan Host"
"2438"	0.95879	1.3667	0.0069033	1.8573	0.25639	2438	"Bayescan Host"
"2439"	0.89078	0.91146	0.017291	1.6693	0.23594	2439	"Bayescan Host"
"2441"	1	1000	0	2.699	0.37839	2441	"Bayescan Host"
"2625"	1	1000	0	2.6436	0.36882	2625	"Bayescan Host"
"2626"	0.998	2.698	0.00030075	2.1568	0.29468	2626	"Bayescan Host"
"2637"	0.977	1.6281	0.0041753	1.9664	0.27028	2637	"Bayescan Host"
"2639"	0.93759	1.1767	0.011201	1.7272	0.2398	2639	"Bayescan Host"
"2882"	1	1000	0	2.6487	0.36994	2882	"Bayescan Host"
"2896"	1	1000	0	2.7016	0.3789	2896	"Bayescan Host"
"2922"	1	1000	0	2.7023	0.37881	2922	"Bayescan Host"
"2927"	1	1000	0	2.7891	0.39286	2927	"Bayescan Host"
"3117"	1	1000	0	2.706	0.37982	3117	"Bayescan Host"
"3210"	0.77636	0.5405	0.038999	1.4365	0.21428	3210	"Bayescan Host"
"3268"	0.9994	3.2215	6.2724e-05	2.3148	0.31851	3268	"Bayescan Host"
"3305"	0.79376	0.58531	0.03655	1.3679	0.20301	3305	"Bayescan Host"
"3306"	0.81156	0.63415	0.030115	1.4516	0.21278	3306	"Bayescan Host"
"3425"	0.9766	1.6204	0.0043376	1.9198	0.26354	3425	"Bayescan Host"
"3661"	0.9974	2.5838	0.00037074	2.178	0.29863	3661	"Bayescan Host"
"3870"	1	1000	0	2.6888	0.37703	3870	"Bayescan Host"
"3893"	0.95259	1.303	0.0087105	1.803	0.24929	3893	"Bayescan Host"
"4442"	0.9988	2.9202	0.00016215	2.2785	0.31362	4442	"Bayescan Host"
"4443"	1	1000	0	2.6845	0.37635	4443	"Bayescan Host"
"4444"	1	1000	0	2.7415	0.38516	4444	"Bayescan Host"
"4445"	1	1000	0	2.6923	0.37769	4445	"Bayescan Host"
"4446"	0.994	2.2191	0.00077663	2.1163	0.28991	4446	"Bayescan Host"
"4469"	1	1000	0	2.6611	0.37257	4469	"Bayescan Host"
"4470"	0.9982	2.7439	0.00025253	2.2481	0.30875	4470	"Bayescan Host"
"4473"	0.9988	2.9202	0.00016215	2.2397	0.30815	4473	"Bayescan Host"
"4475"	0.9818	1.7319	0.0033002	1.9404	0.26591	4475	"Bayescan Host"
"4476"	1	1000	0	2.4864	0.34258	4476	"Bayescan Host"
"4624"	0.9884	1.9304	0.0018054	1.9799	0.27111	4624	"Bayescan Host"
"4627"	0.9856	1.8353	0.0025465	1.9769	0.27144	4627	"Bayescan Host"
"4628"	0.9838	1.7833	0.0027838	1.9435	0.26676	4628	"Bayescan Host"
"4850"	0.9998	3.6988	2.2227e-05	2.5885	0.35996	4850	"Bayescan Host"
"4851"	1	1000	0	2.6789	0.37515	4851	"Bayescan Host"
"4853"	0.82336	0.66851	0.026966	1.5933	0.23115	4853	"Bayescan Host"
"4855"	1	1000	0	2.6847	0.3763	4855	"Bayescan Host"
"4884"	0.9816	1.727	0.0033676	1.9141	0.26262	4884	"Bayescan Host"
"4885"	0.993	2.1518	0.0010762	2.0852	0.28585	4885	"Bayescan Host"
"4888"	0.95699	1.3474	0.0073098	1.8091	0.24971	4888	"Bayescan Host"
"4976"	0.9962	2.4185	0.00062452	2.1027	0.28804	4976	"Bayescan Host"
"5312"	0.9918	2.0825	0.0013596	2.0374	0.27945	5312	"Bayescan Host"
"5313"	0.9934	2.1775	0.00094076	2.0341	0.27847	5313	"Bayescan Host"
"5314"	0.96679	1.4641	0.0056768	1.9667	0.27152	5314	"Bayescan Host"
"5315"	0.77716	0.54251	0.038494	1.4549	0.2158	5315	"Bayescan Host"
"5423"	1	1000	0	2.7018	0.37884	5423	"Bayescan Host"
"5593"	0.93899	1.1872	0.010669	1.8524	0.25765	5593	"Bayescan Host"
"5902"	0.9946	2.2652	0.00071681	2.1883	0.30159	5902	"Bayescan Host"
"5970"	0.9998	3.6988	2.2227e-05	2.4323	0.33491	5970	"Bayescan Host"
"6251"	0.85617	0.77471	0.022856	1.5692	0.22518	6251	"Bayescan Host"
"6252"	0.83397	0.70095	0.025239	1.5312	0.22151	6252	"Bayescan Host"
"6253"	0.85357	0.76561	0.023228	1.5625	0.2242	6253	"Bayescan Host"
"6254"	0.93339	1.1465	0.012121	1.7217	0.23918	6254	"Bayescan Host"
"6255"	0.9998	3.6988	2.2227e-05	2.3269	0.32	6255	"Bayescan Host"
"6256"	0.9962	2.4185	0.00062452	2.0366	0.2778	6256	"Bayescan Host"
"6343"	1	1000	0	2.7763	0.39077	6343	"Bayescan Host"
"6592"	0.91938	1.0571	0.013188	1.7784	0.24924	6592	"Bayescan Host"
"6616"	1	1000	0	2.7723	0.39055	6616	"Bayescan Host"
"6617"	1	1000	0	2.7737	0.39048	6617	"Bayescan Host"
"6618"	0.998	2.698	0.00030075	2.172	0.29793	6618	"Bayescan Host"
"6619"	1	1000	0	2.7182	0.38175	6619	"Bayescan Host"
"6621"	1	1000	0	2.7013	0.37876	6621	"Bayescan Host"
"6622"	1	1000	0	2.4052	0.33159	6622	"Bayescan Host"
"6857"	0.95899	1.3689	0.0067714	1.9849	0.27446	6857	"Bayescan Host"
"7163"	1	1000	0	2.5884	0.35996	7163	"Bayescan Host"
"7164"	0.9998	3.6988	2.2227e-05	2.5456	0.35399	7164	"Bayescan Host"
"7179"	0.94139	1.2058	0.010321	1.8411	0.25555	7179	"Bayescan Host"
"7180"	0.89078	0.91146	0.017291	1.7255	0.24398	7180	"Bayescan Host"
"7211"	0.999	2.9995	0.00012128	2.3004	0.31663	7211	"Bayescan Host"
"7212"	0.9998	3.6988	2.2227e-05	2.2882	0.31491	7212	"Bayescan Host"
"7220"	0.83117	0.69223	0.025664	1.4882	0.21601	7220	"Bayescan Host"
"7305"	0.97219	1.5436	0.0048709	2.037	0.28099	7305	"Bayescan Host"
"7868"	0.89278	0.92046	0.01641	1.5925	0.22544	7868	"Bayescan Host"
"7903"	0.983	1.762	0.003039	1.9927	0.2732	7903	"Bayescan Host"
"8080"	0.79656	0.59278	0.03608	1.5111	0.22205	8080	"Bayescan Host"
"8137"	0.9918	2.0825	0.0013596	2.0588	0.28228	8137	"Bayescan Host"
"8244"	0.9996	3.3977	3.8946e-05	2.3129	0.31781	8244	"Bayescan Host"
"8264"	0.90238	0.96585	0.014987	1.8133	0.25462	8264	"Bayescan Host"
"8397"	0.9986	2.8532	0.00018967	2.1675	0.29676	8397	"Bayescan Host"
"9748"	1	1000	0	2.6875	0.37687	9748	"Bayescan Host"
"9940"	0.9994	3.2215	6.2724e-05	2.2834	0.31442	9940	"Bayescan Host"
"10071"	0.94399	1.2267	0.0096505	1.828	0.25342	10071	"Bayescan Host"
"10119"	0.94359	1.2234	0.0099814	2.2242	0.31334	10119	"Bayescan Host"
"10124"	0.93819	1.1812	0.011023	2.0765	0.29112	10124	"Bayescan Host"
"10125"	0.9984	2.7951	0.00023026	2.498	0.34918	10125	"Bayescan Host"
"10127"	0.9754	1.5982	0.0045876	2.0743	0.28739	10127	"Bayescan Host"
"10128"	0.9968	2.4934	0.00048927	2.2363	0.30792	10128	"Bayescan Host"
"10129"	0.9992	3.0965	9.2701e-05	2.3728	0.3269	10129	"Bayescan Host"
"10131"	0.9968	2.4934	0.00048927	2.1481	0.29385	10131	"Bayescan Host"
"10132"	0.9962	2.4185	0.00062452	2.1632	0.29591	10132	"Bayescan Host"
"10135"	0.9814	1.7222	0.0034354	2.048	0.28214	10135	"Bayescan Host"
"10136"	0.9998	3.6988	2.2227e-05	2.4557	0.33968	10136	"Bayescan Host"
"10137"	1	1000	0	2.6257	0.36705	10137	"Bayescan Host"
"10142"	0.9824	1.7467	0.0032331	2.0338	0.27958	10142	"Bayescan Host"
"10143"	0.9836	1.7779	0.0028469	2.0102	0.27614	10143	"Bayescan Host"
"10145"	0.9938	2.2048	0.00080835	2.0778	0.2848	10145	"Bayescan Host"
"10146"	0.9984	2.7951	0.00023026	2.184	0.29944	10146	"Bayescan Host"
"10147"	0.9992	3.0965	9.2701e-05	2.308	0.31685	10147	"Bayescan Host"
"10148"	0.97179	1.5372	0.0050614	1.8659	0.25624	10148	"Bayescan Host"
"10149"	1	1000	0	2.7694	0.38905	10149	"Bayescan Host"
"10150"	1	1000	0	2.7722	0.38949	10150	"Bayescan Host"
"10151"	1	1000	0	2.7648	0.38776	10151	"Bayescan Host"
"10152"	1	1000	0	2.7758	0.38988	10152	"Bayescan Host"
"10154"	1	1000	0	2.7858	0.39154	10154	"Bayescan Host"
"10155"	1	1000	0	2.4167	0.33224	10155	"Bayescan Host"
"10156"	1	1000	0	2.3807	0.32676	10156	"Bayescan Host"
"10157"	0.79856	0.59816	0.035615	1.4631	0.21659	10157	"Bayescan Host"
"10158"	1	1000	0	2.5818	0.35739	10158	"Bayescan Host"
"10159"	1	1000	0	2.5662	0.35484	10159	"Bayescan Host"
"10160"	1	1000	0	2.4784	0.34169	10160	"Bayescan Host"
"10161"	0.9998	3.6988	2.2227e-05	2.3416	0.32051	10161	"Bayescan Host"
"10163"	0.92999	1.1233	0.012317	1.7713	0.24714	10163	"Bayescan Host"
"10164"	0.94099	1.2026	0.010492	1.797	0.25033	10164	"Bayescan Host"
"10240"	0.93599	1.165	0.011564	1.836	0.25534	10240	"Bayescan Host"
"10241"	0.993	2.1518	0.0010762	2.0302	0.27825	10241	"Bayescan Host"
"10420"	1	1000	0	2.5847	0.35962	10420	"Bayescan Host"
"10430"	0.95579	1.3349	0.007449	1.967	0.27216	10430	"Bayescan Host"
"10434"	1	1000	0	2.6602	0.37142	10434	"Bayescan Host"
"10452"	0.9872	1.8871	0.0021632	2.0134	0.27561	10452	"Bayescan Host"
"10453"	1	1000	0	2.6418	0.36893	10453	"Bayescan Host"
"10574"	1	1000	0	2.5609	0.35693	10574	"Bayescan Host"
"10671"	0.9756	1.6018	0.0045038	2.013	0.27751	10671	"Bayescan Host"
"10717"	1	1000	0	2.7154	0.38108	10717	"Bayescan Host"
"10718"	1	1000	0	2.7511	0.38699	10718	"Bayescan Host"
"11085"	0.9998	3.6988	2.2227e-05	2.2069	0.30155	11085	"Bayescan Host"
"11086"	0.79856	0.59816	0.035615	1.5309	0.2249	11086	"Bayescan Host"
"11191"	0.81216	0.63586	0.029658	1.5505	0.22645	11191	"Bayescan Host"
"11506"	0.78896	0.57268	0.037505	1.3994	0.20804	11506	"Bayescan Host"
"11822"	0.90318	0.96981	0.014446	1.661	0.23367	11822	"Bayescan Host"
"12751"	0.9986	2.8532	0.00018967	2.2185	0.30407	12751	"Bayescan Host"
"12752"	0.9996	3.3977	3.8946e-05	2.1962	0.30094	12752	"Bayescan Host"
"12832"	0.74495	0.4655	0.043175	1.365	0.20633	12832	"Bayescan Host"
"12851"	0.9988	2.9202	0.00016215	2.3095	0.31763	12851	"Bayescan Host"
"12855"	0.9992	3.0965	9.2701e-05	2.2255	0.30475	12855	"Bayescan Host"
"13039"	0.86057	0.79044	0.022133	1.6111	0.23007	13039	"Bayescan Host"
"13047"	0.86637	0.81181	0.021086	1.6928	0.24157	13047	"Bayescan Host"
"13610"	0.9912	2.0516	0.0013992	2.0875	0.28655	13610	"Bayescan Host"
"13611"	0.997	2.5215	0.00043645	2.1236	0.29064	13611	"Bayescan Host"
"13829"	0.77576	0.539	0.039502	1.4111	0.21021	13829	"Bayescan Host"
"13835"	1	1000	0	2.5914	0.36157	13835	"Bayescan Host"
"14771"	1	1000	0	2.6302	0.36656	14771	"Bayescan Host"
"14772"	1	1000	0	2.8259	0.39918	14772	"Bayescan Host"
"15167"	1	1000	0	2.6317	0.36689	15167	"Bayescan Host"
"16107"	0.9902	2.0044	0.0015711	2.3327	0.3242	16107	"Bayescan Host"
"17290"	0.9878	1.9082	0.0020588	2.0312	0.27881	17290	"Bayescan Host"
"17357"	0.96299	1.4153	0.0062583	1.8411	0.25313	17357	"Bayescan Host"
"17442"	0.87898	0.8611	0.019736	1.6824	0.23963	17442	"Bayescan Host"
"18220"	0.90298	0.96882	0.014716	1.6774	0.23648	18220	"Bayescan Host"
"18228"	0.92058	1.0642	0.012962	1.8204	0.25402	18228	"Bayescan Host"
"18230"	0.81556	0.64561	0.029201	1.4783	0.2154	18230	"Bayescan Host"
"18396"	1	1000	0	2.7718	0.39002	18396	"Bayescan Host"
"18401"	1	1000	0	2.6422	0.3685	18401	"Bayescan Host"
"19090"	0.95959	1.3756	0.0066392	1.8127	0.25016	19090	"Bayescan Host"
"19694"	0.9988	2.9202	0.00016215	2.4733	0.34474	19694	"Bayescan Host"
"19777"	0.90738	0.99109	0.014174	1.8274	0.25629	19777	"Bayescan Host"
"19977"	1	1000	0	2.6671	0.37342	19977	"Bayescan Host"
"20477"	0.9986	2.8532	0.00018967	2.2648	0.31151	20477	"Bayescan Host"
"21255"	0.998	2.698	0.00030075	2.1774	0.2984	21255	"Bayescan Host"
"21727"	0.72695	0.42525	0.046725	1.3617	0.20749	21727	"Bayescan Host"
"21832"	0.9976	2.6187	0.00035578	2.3334	0.32274	21832	"Bayescan Host"
"22398"	1	1000	0	2.704	0.37846	22398	"Bayescan Host"
"22423"	0.93439	1.1535	0.011749	1.8219	0.2536	22423	"Bayescan Host"
"22424"	0.86017	0.78899	0.022489	1.6129	0.23079	22424	"Bayescan Host"
"22448"	0.96979	1.5066	0.0053599	1.9151	0.26344	22448	"Bayescan Host"
"22803"	0.79976	0.60141	0.034223	1.6404	0.24003	22803	"Bayescan Host"
"23041"	0.94719	1.2537	0.0093177	1.9544	0.27092	23041	"Bayescan Host"
"23910"	1	1000	0	2.6899	0.37681	23910	"Bayescan Host"
"25588"	1	1000	0	2.6689	0.37351	25588	"Bayescan Host"
"26314"	0.95559	1.3328	0.0077259	1.8652	0.25769	26314	"Bayescan Host"
"26315"	0.96979	1.5066	0.0053599	1.9087	0.26265	26315	"Bayescan Host"
"26673"	1	1000	0	2.4999	0.34584	26673	"Bayescan Host"
"26945"	1	1000	0	2.5238	0.34894	26945	"Bayescan Host"
"26946"	0.9998	3.6988	2.2227e-05	2.2567	0.30786	26946	"Bayescan Host"
"26948"	1	1000	0	2.3651	0.3243	26948	"Bayescan Host"
"27138"	0.88518	0.887	0.018194	1.6115	0.22866	27138	"Bayescan Host"
"27587"	0.71734	0.40447	0.047343	1.4237	0.21659	27587	"Bayescan Host"
"27886"	1	1000	0	2.6532	0.37018	27886	"Bayescan Host"
"27988"	1	1000	0	2.6721	0.37396	27988	"Bayescan Host"
"28869"	1	1000	0	2.6278	0.36639	28869	"Bayescan Host"
"28998"	0.95359	1.3128	0.0084259	1.8684	0.25812	28998	"Bayescan Host"
"28999"	0.96119	1.3939	0.0065083	1.9158	0.2647	28999	"Bayescan Host"
"29000"	0.91158	1.0133	0.013914	1.8067	0.25312	29000	"Bayescan Host"
"29367"	1	1000	0	2.6051	0.36256	29367	"Bayescan Host"
"29368"	0.9988	2.9202	0.00016215	2.2154	0.30373	29368	"Bayescan Host"
"29446"	0.986	1.8477	0.002434	1.9701	0.26951	29446	"Bayescan Host"
"29450"	0.9984	2.7951	0.00023026	2.2008	0.30165	29450	"Bayescan Host"
"29596"	0.80836	0.62512	0.031935	1.5859	0.23164	29596	"Bayescan Host"
"29597"	0.73595	0.44516	0.043762	1.449	0.21886	29597	"Bayescan Host"
"29598"	0.976	1.6091	0.0044202	2.1803	0.30276	29598	"Bayescan Host"
"29600"	1	1000	0	2.6494	0.36993	29600	"Bayescan Host"
"29603"	0.81056	0.63132	0.031023	1.5476	0.2257	29603	"Bayescan Host"
"30047"	0.9982	2.7439	0.00025253	2.1965	0.30101	30047	"Bayescan Host"
"30269"	0.9996	3.3977	3.8946e-05	2.323	0.31959	30269	"Bayescan Host"
"30286"	0.77075	0.52661	0.041021	1.4278	0.21248	30286	"Bayescan Host"
"30455"	0.84957	0.75186	0.023986	1.7378	0.24909	30455	"Bayescan Host"
"31092"	0.71634	0.40233	0.04796	1.4332	0.21887	31092	"Bayescan Host"
"31166"	1	1000	0	2.7083	0.37967	31166	"Bayescan Host"
"31644"	0.979	1.6685	0.0038631	2.0007	0.2753	31644	"Bayescan Host"
"31814"	0.93379	1.1493	0.011935	1.8448	0.25727	31814	"Bayescan Host"
"32978"	1	1000	0	2.7001	0.37855	32978	"Bayescan Host"
"33262"	0.77315	0.53254	0.040512	1.4966	0.22231	33262	"Bayescan Host"
"33366"	1	1000	0	2.7074	0.37897	33366	"Bayescan Host"
"33367"	1	1000	0	2.5949	0.36163	33367	"Bayescan Host"
"33381"	1	1000	0	2.6928	0.37762	33381	"Bayescan Host"
"33508"	1	1000	0	2.809	0.39617	33508	"Bayescan Host"
"33509"	0.9798	1.6857	0.0037134	2.136	0.29527	33509	"Bayescan Host"
"33697"	0.95259	1.303	0.0087105	1.8272	0.25283	33697	"Bayescan Host"
"34228"	0.979	1.6685	0.0038631	2.0025	0.27531	34228	"Bayescan Host"
"34229"	0.9854	1.8292	0.0026034	2.0657	0.28391	34229	"Bayescan Host"
"34230"	0.9862	1.854	0.0023784	2.0683	0.28409	34230	"Bayescan Host"
"34231"	0.9928	2.1394	0.0011102	2.1461	0.29457	34231	"Bayescan Host"
"34232"	0.97119	1.5278	0.0051579	1.9158	0.26403	34232	"Bayescan Host"
"34233"	1	1000	0	2.2191	0.30422	34233	"Bayescan Host"
"34234"	0.9766	1.6204	0.0043376	1.9532	0.26794	34234	"Bayescan Host"
"35301"	1	1000	0	2.6551	0.37043	35301	"Bayescan Host"
"35326"	0.993	2.1518	0.0010762	2.1641	0.29739	35326	"Bayescan Host"
"35327"	0.80816	0.62456	0.032388	1.5417	0.22511	35327	"Bayescan Host"
